Abajur, R$ 500, exemplo.com.br, 1
Sofá, R$ 500, exemplo.com.br, 1
Lixeira, R$ 500, exemplo.com.br, 1
Geladeira, R$ 500, exemplo.com.br, 1
Tv, R$ 500, exemplo.com.br, 1
Pipoqueira, R$ 500, exemplo.com.br, 1
Batedeira, R$ 500, exemplo.com.br, 1
Escorredor, R$ 500, exemplo.com.br, 1
Livro de receitas, R$ 500, exemplo.com.br, 1
Mesa de Centro, R$ 500, exemplo.com.br, 1
Copos, R$ 500, exemplo.com.br, 1
Cafeteira, R$ 500, exemplo.com.br, 1
Luminária, R$ 500, exemplo.com.br, 1
Prateleira, R$ 500, exemplo.com.br, 1
Aspirador de pó, R$ 500, exemplo.com.br, 1
